kasuZbkia,gaixotasunak,gaixotasunUMLS,sintomak,sintomenUMLS,gaixSin,gaixSinUMLS
0,"le,esofagitis erosiva,displasia","C1292157#C0409974,C0267055 C0267055,C0334044#C1279612","pirosis,le","C0018834,C1292157#C0409974","pirosis,esofagitis,epitelio,displasia","C0018834,C0267055_1,C0225337_1,C0334044#C1279612"
1,"aftas bucales,hemorragia","C0038363 C0038363,C0019080","Mujer,molestias,diarrea,signos,hemorragia,ictericia","C0043210#C0015780#C0086418,C0231218,C0011991,C0311392,C0019080,C0022346","aftas,molestias,diarrea,hemorragia,ictericia","C0038363_1,C0231218,C0011991,C0019080,C0022346"
2,"enfermedades,coágulos,úlcera,úlcera,le","C0012634#C0039082,C0302148,C0041582_1,C0041582_1,C1292157#C0409974","palidez,le","C0030232#C1275397,C1292157#C0409974","enfermedades,deposiciones,melénicas,palidez,doloroso,deposiciones,melénicas,coágulos,úlcera,protuberancia,úlcera,trombo","C0012634#C0039082,-,-,C0030232#C1275397,-,-,-,C0302148,C0041582_1,C0332567#C0032639,C0041582_1,C0087086#C0003148#C0040053"
3,"cáncer,adenomas","C1306459#C0936282#C0006826,C0001430",,,"cáncer,adenomas","C1306459#C0936282#C0006826,C0001430"
4,,,"astenia,ictericia","C0004093#C3714552,C0022346","astenia,ictericia,HBsAg","C0004093#C3714552,C0022346,-"
5,"bronquitis crónica,colecistitis aguda,leucocitosis","C0008677 C0008677,C0149520 C0149520,C0023518#C0750426","insuficiencia,con dieta absoluta,dolor abdominal","C0231179,C3472561 C3472561 C3472561,C0000737 C0000737","bronquitis,insuficiencia,colecistitis,fiebre,dolor,leucocitosis","C0008677_1,C0231179,C0149520_1,C0015967,C0000737_1,C0023518#C0750426"
6,"hipertensión arterial,prurito,dilatación,masa,punción,adenocarcinoma","C0020538 C0020538,C0036262#C0033774_1,C0012359,C1306372#C0577559,C0033119,C0001418","mujer,ictericia,prurito,anorexia,nódulo hepático,masa,nódulo hepático","C0043210#C0015780#C0086418,C0022346,C0036262#C0033774_1,C1971624,C0745761 C0745761,C1306372#C0577559,C0745761 C0745761","hipertensión,ictericia,prurito,anorexia,dilatación,nódulo,masa,nódulo,adenocarcinoma","C0020538_1,C0022346,C0036262#C0033774_1,C1971624,C0012359,C0745761_1,C1306372#C0577559,C0745761_1,C0001418"
7,estenosis,C0009814#C1261287,"mujer,ritmo sinusal","C0043210#C0015780#C0086418,C0232201 C0232201",estenosis,C0009814#C1261287
8,,,"disnea,fatiga,consecuencia,soplo mesosistólico","C0013404#C0553668,C0015672,C0543419#C1368999#C1704419#C1280500#C1280519,C0232259 C0232259","disnea,fatiga,soplo","C0013404#C0553668,C0015672,C0232259_1"
9,cardiopatía hipertensiva,C0152105#C0694541 C0152105#C0694541,"engrosamiento,soltero,disnea,ortopnea,dolor","C0205400,C0037179,C0013404#C0553668,C0085619,C0030193","cardiopatía,engrosamiento,disnea,ortopnea,dolor,crepitantes","C0152105#C0694541_1,C0205400,C0013404#C0553668,C0085619,C0030193,-"
10,"DM tipo 2,le,edemas","C0011860 C0011860 C0011860,C1292157#C0409974,C0013604","tos seca,disnea,disnea,edemas,Soplo sistólico,sibilancias,hallazgos","C0850149 C0850149,C0013404#C0553668,C0013404#C0553668,C0013604,C0232257 C0232257,C0043144#C0392681,C0243095","HTA,DM,tos,disnea,disnea,edemas,Soplo,Hipofonesis,sibilancias","-,C0011860_1,C0850149_1,C0013404#C0553668,C0013404#C0553668,C0013604,C0232257_1,-,C0043144#C0392681"
11,cardiopatía,C0018799,problemas,C0033213,"cardiopatía,problemas,palpitaciones","C0018799,C0033213,-"
