year,question_id_specific,question_id_general,question_id_final,canceled,full_question,full_answer,full_answer_references,type,difficulty,difficulty_percentage,associated_image,option_1,option_2,option_3,option_4,option_5,correct_answer,Zalantzakoa,Ez da guztiz egokia
2010,31,9325,118181,FALSE,Un hombre de 60 años de edad refiere pirosis diaria desde la juventud que trata con alcalinos. Se le practica una endoscopia digestiva día que muestra esofagitis erosiva leve y la unión escamosa columnar desplazada aproximadamente 7 cm respecto a la porción proximal de los pliegues gástricos. Las biopsias del esófago distal revelan que el epitelio escamoso normal ha sido reemplazado por epitelio columnar de tipo intestinal con displasia de bajo grado. ¿Cual es la opción más apropiada para el manejo de este paciente?:,"Esófago de Barrett Se trata de un esófago de Barrett con displasia de bajo grado que constituye un factor de riesgo para el adenocarcinoma de esófago. El esófago de Barrett se divide arbitrariamente en un segmento largo (>2 a 3 cm) y segmento corto (<2 a 3 cm). La tasa de desarrollo de cáncer es de 0.5% por año en la afección de segmento largo.La metaplasia intestinal de Barrett avanza al adenocarcinoma a través de etapas displásicas, que incluyen displasia de bajo grado y displasia de alto grado. La frecuencia de las endoscopias de vigilancia en pacientes con esófago de Barrett depende de los datos endoscópicos iniciales: La displasia de alto grado suele asociarse a carcinoma concomitante y evoluciona al cáncer en casi 20% de los casos y se trata con esofagectomía, resección endoscópica de mucosa o tratamiento fotodinámico (respuesta 5 incorrecta). En la displasia de bajo grado se recomienda la endoscopia de seguimiento a los seis y a los 12 meses en un principio y cada año a partir de entonces, mientras persista la displasia de bajo grado. El tratamiento médico del Barret son IBP a dosis doble de lo convencional o preferiblemente ajustando la dosis mediante pH-metría. La metaplasia documentada no experimenta regresión con el tratamiento antisecretor. Los efectos secundarios del tratamiento con inhibidores de la bomba de protones por lo general son mínimos, sin embargo, la supresión intensiva del ácido ocasiona hipergastrinemia pero no aumenta el riesgo de tumores carcinoides o de gastrinomas (respuesta 4 correcta y 1,2 y 3 incorrectas).","1. FARRERAS 16a edic., Pág. 115 2. HARRISON 17a edic., Pág.1852",DIGESTIVO,Fácil,"0,81",,Dado que la esofagitis es leve y la displasia de bajo grado se aconseja continuar tratamiento con alcalinos.,Tratamiento indefinido con dosis altas de inhibidores de la bomba de protones ya que se ha demostrado que así se evita la progresión del esófago de Barrett a adenocarcinoma haciendo innecesaria la vigilancia endoscópica.,Endoscopias de vigiliancia periódicas y tratamiento con inhibidores de al bomba de protones durante menos de 12 semanas ya que tratamientos más prolongados se asocian a un alto riesgo de desarrollo de gastrinomas.,Endoscopias de vigilancia periódicas y tratamiento indefinido con inhibidores de la bomba de protones.,Esofaguectomía.,4,,
2010,33,9327,118183,FALSE,"Mujer de 27 años en estudio en el Servicio de Dermatología por presentar episodios de aftas bucales recidivantes. Es remitida a las consultas de Aparato Digestivo por objetivar en una analítica: Hb 11.5 g/dl, Hto. 35%, Fe 38 ug/dl, AST 52 U/L. ALT 64 U/L, Ac antitransglutaminasa IgH 177 U/ml. La paciente sólo refiere presentar molestias abdominales difusas de forma ocasional. No refiere diarrea, signos de hemorragia ni ictericia. La exploración física es normal. ¿Qué prueba de las que se mencionan a continuación considera que es la más adecuada para el realizar el diagnóstico?","Dermatitis herpetiforme asociada a celiaca Se trata de un cuadro clínico compatible con enfermedad celiaca (aftas, sideremia baja, alteración de transaminasas, molestias digestivas) junto con Ac antitransglutaminasa elevados. El diagnóstico de enfermedad celiaca exige la presencia de alteraciones histopatológicas características en la biopsia de intestino delgado (respuesta 4 correcta).","1. SLEISENGER 8a edic., Pág. 2291",DIGESTIVO,Fácil,"0,93",,Cápsula endoscópia.,Colonoscopia.,Serología para virus de la hepatitis B y C.,Biopsia intestinal.,Ecografía abdominal.,4,,
2010,34,9328,118184,FALSE,"Hombre de 43 años sin enfermedades de interés que acude a Urgencias del Hospital por 4 deposiciones melénicas en las últimas 12 horas. Refiere toma de antiinflamatorios en días previos. En la exploración física destaca palidez de piel y mucosas, TA 95/65 mmHg y frecuencia cardiaca 110 lpm. El abdomen no es doloroso y en el tacto rectal se demuestran deposiciones melénicas. En la analítica se encuentra una cifra de Hb de 8.1 g/dL. Tras infusión de suero salino y comenzar la transfusión de concentrado de hematíes la TA es 120/85 mmHg y la frecuencia cardiaca 90 lpm. Se realiza endoscopia digestiva urgente en la que se encuentran coágulos en el estómago y una úlcera de 2 cm en el antro gástrico con fondo de fibrina y una pequeña protuberancia blanco-grisácea de 3 mm en el centro de la úlcera (trombo plaquetar o ""vaso visible""). ¿Qué actitud le parece más correcta?","Signos de sangrado de úlceras pépticas: Clasificación de Forrest Tipo Descripción Recidiva (%) Interpretación Ia Sangrado “a chorro” SANGRADO ACTIVO Ib Sangrado “en sábana” IIa Vaso visible 43 IIb Coágulo adherido 35 HEMOSTASIA RECIENTE IIc Mancha negra 5-10 III Fondo de fibrina 3-5 NO SANGRADO La hemorragia digestiva es la complicación más frecuente de la úlcera péptica.Se trata de un paciente que tras toma de AINEs presenta sangrado con inestabilidad hemodinámica que precisa sueros para la estabilización y transfusión, por lo que no debe ser dado de alta (respuesta 1 incorrecta). Además de las manifestaciones clínicas, las características de la úlcera en la endoscopia también son datos importantes para el pronóstico. Hasta 33% de los pacientes con hemorragias activas o con un vaso visible que no sangra volverá a sangrar y necesitará una intervención urgente si sigue un tratamiento conservador, estos pacientes mejoran claramente si se tratan por vía endoscópica con electrocoagulación, sondas de calor, clips o inyecciones esclerosantes, con lo que disminuyen las hemorragias, la permanencia hospitalaria, las tasas de mortalidad y los costos. En cambio, en los pacientes con una úlcera de base limpia, la posibilidad de que repitan las hemorragias es casi nula. La infusión de inhibidores de bomba de protones mejorara la estabilidad del coágulo, disminuye nuevas crisis hemorrágicas (pero no la mortalidad) en úlceras de alto riesgo (respuesta 5 correcta y 3 incorrecta). La somatostatina, se utiliza para el sangrado por hipertensión portal (respuesta 2 incorrecta). En gran parte de los casos la hemorragia cede de manera espontánea o con tratamiento endoscópico, los que no responden al tratamiento endoscópico necesitarán cirugía (respuesta 4 incorrrecta).","1. HARRISON 17a edic., Págs. 257 y 1866.",DIGESTIVO,Difícil,"0,31",,"Dado que el paciente es joven, sin enfermedades asociadas y la úlcera ha dejado de sangrar, puede ser dado de alta precozmente con tratamiento con un inhibidor de la bomba de protones y erradicación de H. pylori.","Retirar endoscopio, colocar sonda nasogástrica para aspiración continua e iniciar tratamiento con un inhibidor de la bomba de protones y con somatostatina.",Tomar biopsia para la detección de H. pylori. retirar el endoscopio procurando no desprender el trombo plaquetar y continuar tratamiento farmacológico con administración intravenosa de inhibidor de la bomba de protones.,Consulta al Servicio de Cirugía para considerar tratamiento quirúrgico urgente.,"Tratamiento endoscópico mediante inyección de adrenalina en la úlcera y colocación de ""clips"" (grapas metálicas), seguido de la administración intravenosa de inhibidor de la bomba de protones.",5,,
2010,37,9331,118187,FALSE,"Hombre de 30 años, con antecedente familiar de padre fallecido por cáncer de colon a los 38 años. Se practica una colonoscopia que muestra cientos de adenomas a lo largo de todo el colon. ¿Cual de las siguientes afirmaciones es FALSA?:","Pólipo Se trata de otra pregunta “negativa”. La poliposis familiar del colon se caracteriza por la presencia de miles de pólipos adenomatosos en todo el intestino grueso. Se transmite de forma autosómica dominante (respuesta 1 incorrecta). Los hijos de los pacientes con poliposis de colon, tienen un riesgo de 50% de padecer esta enfermedad premaligna, por lo que se debe realizar cada año una sigmoidoscopia hasta los 35 años de edad (respuesta 5 incorrecta). Si la poliposis no se elimina por medio de cirugía, aparecerá un cáncer colorrectal en casi todos los pacientes antes de los 40 años de edad. Una vez que se detectan los pólipos múltiples que constituyen la poliposis de colon, los pacientes deben someterse a una colectomía total. El tratamiento médico con antiinflamatorios no esteroideos como el sulindac y con inhibidores de la ciclooxigenasa-2 como celecoxib disminuye el número y el tamaño de los pólipos en los pacientes con poliposis de colon, aunque este efecto en los pólipos es sólo temporal y no se ha demostrado que reduzcan el riesgo de padecer cáncer (respuesta 2 correcta y 3 incorrecta).","1. HARRISON 17a edic., Págs. 574.",DIGESTIVO,Fácil,"0,87",,El paciente padece una poliposis adenomatosa familiar.,"El manejo más apropiado es sulindac, colonoscopias de vigilancia anuales y colectomía total a los 40 años.",De no someterse a tratamiento quirúrgico casi con toda seguridad el paciente desarrollará un cáncer colorrectal.,Deben estudiarse los familiares de primer grado del paciente.,Los hijos del paciente tienen un 50% de riesgo de padecer la misma enfermedad.,2,,
2010,39,9333,118189,FALSE,"Un hombre de 25 años presenta de forma brusca astenia e ictericia detectándose unas Transaminasas (ALT y AST) superiores a 2000 UI/L. Los marcadores serológicos muestran el siguiente patrón: Anti-VHA IgM negativo, HBsAg negativo, anti-HBc IgM positivo y anti-VHC negativo. ¿Cuál es su diagnóstico?:","Se trata de un cuadro compatible con una hepatitis aguda (astenia, ictericia y aumento de transaminasas), en un paciente que presenta positividad del anti-HBc IgM por lo que es compatible con hepatitis aguda B (respuesta 3 correcta). En los pacientes con HBsAg positivo de duración desconocida, la determinación de la IgM anti- HBc puede ser útil para diferenciar entre una infección aguda o reciente (IgM anti-HBc positivo) o una infección crónica por el HBV (IgM anti-HBc negativo) (respuesta 1 incorrecta, respuesta 2 incorrecta). En la pregunta no nos dan marcadores del virus delta por lo que no se puede afirmar que sea una sobreinfección delta (respuesta 4 incorrecta) El Anti-VHA IgM es negativo por lo que no se trata de una hepatitis aguda A (respuesta 5 incorrecta).","1. FARRERAS 16a edic., Pág. 345",DIGESTIVO,Fácil,"0,88",,Hepatitis crónica B.,Hepatitis aguda no viral.,Hepatitis aguda B.,Sobreinfección por virus D (delta),Hepatitis aguda A y B.,3,,
2010,41,9335,118191,FALSE,"Un paciente de 87 años con antecedentes de bronquitis crónica e insuficiencia cardiaca, ha sido diagnosticado de colecistitis aguda Litiásica. Tras cuatro días de hospitalización en tratamiento con dieta absoluta, sueroterapia, piperacilina/Tazobactam, el paciente continúa con fiebre, dolor abdominal persistente y leucocitosis. La actitud más adecuada en este momento sería:","ECO abdominal: Colecistits aguda, engrosamiento pared vesicular con imágenes hiperecoicas en su interior y sombra sónica posterior Se trata de una paciente anciano, con enfermedades previas que aumentan el riesgo quirúrgico, sería un ASA IV para una intervención urgente que evoluciona mal tras tratamiento antibiótico por lo que es indicación quirúrgica (respuestas 3, 4 y 5 incorrectas). Los pacientes debilitados o gravemente enfermos con colecistitis deben ser tratados con colecistostomía y colocación de un tubo de drenaje en la vesícula. La colecistectomía programada puede entonces aplazarse (respuesta 2 correcta y 1 incorrecta).","1. HARRISON 17a edic., Págs. 1997. 2. FARRERAS 16a edic., Pág. 420.",DIGESTIVO,Normal,"0,54",,Tratamiento quirúrgico (colecistectomía) urgente.,Drenaje biliar mediante colecistostomía percutánea.,Sustitiuir la piperacilina/tazobactan por metronidazol+cefotaxima.,Sustituir la piperecilina/tazobactam por amikacina+clindamicina.,Añadir al tratamiento un aminoglucósido como acentamicina.,2,,
2010,42,9336,118192,FALSE,"Una mujer de 76 años, sin otros antecedentes que hipertensión arterial, consulta por ictericia indolora y prurito, con anorexia. Analíticamente, destaca una bilirrubina total de 12 mg/dL (con 9.5 mg/dL de bilirrubina directa). La ecografía abdominal muestra dilatación biliar intra y extrahepática, junto con un nódulo hepático único menor de 2 cm, localizado periféricamente, en la cara anterior del lóbulo izquierdo. La TC confirma estos hallazgos, demostrando además la presencia de una masa de 3.5 cm en la cabeza pancreática. La punción aspirativa con aguja fina del nódulo hepático resulta concluyente para adenocarcinoma. Señale la mejor opción terapéutica:","RM abdominal T2; gran masa pancreática con lesiones nodulares hepáticas, neoplasia pancreática con metástasis hepáticas Se trata de un adenocarcinoma de páncreas con metástasis hepáticas y compresión de la vía biliar por lo que no tiene indicación quirúrgica de resección (respuesta 5 incorrecta), pero si de alguna intervención para aliviar la ictericia (respuesta 1 incorrecta). La derivación quirúrgica tienen más complicaciones que colocar una prótesis metálica autoexpandible vía endoscópica (respuesta 3 incorrecta y 4 correcta) siendo de segunda elección la vía transhepática (respuesta 2 incorrecta). ","1. HARRISON 17a edic., Págs. 518. 2. FARRERAS 16a edic., Pág. 273.",DIGESTIVO,Difícil,"0,2",,Quimio/radioterapia neoadyuvante condicionando la opción de cirugía radical a la respuesta inicial.,"Drenaje biliar externo percutáneo con carácter paliativo, con eventual reconversión a drenaje interno en caso de intolerancia o complicaciones.","Derivación biliar quirúrgica paliativa, con o sin gastro-yeyunostomía profiláctica en función de los hallazgos intraoperatorios.",Prótesis biliar metálica mediante colongio- pancralografía retrógrada endoscópica con opción a quimioterapia paliativa.,"Duodenopancreatectomía cefálica, con ablación percutánea mediante radriofrecuencia o alcoholización de la lesión hepática.",4,,
2010,46,9340,118196,FALSE,"Una mujer de 53 años presenta una estenosis mitral moderada aislada, mantiene ritmo sinusal, presenta buena capacidad funcional y sigue revisiones periódicas. En la exploración física esperaría encontrar:",Al estar en ritmo sinusal los latidos serán rítmicos. Por lo demás el hallazgo fundamental es un soplo diastólico precedido de um chasquido de apertura (respuesta 1 correcta). Los pacientes con estenosis mitral no tienen porqué estar hipertensos y no presentan soplo sistólico a no ser que presenten valvulopatía asociada.,"1. Harrison ́s,17Th Edition, Pag 255",CARDIOLOGÍA,Fácil,"0,88",,"Soplo mesodiástólico en foco mitral, posible chasquido de apertura previo y tonos cardiacos rítmicos.",Soplo mesosistólico y diastólico en borde esternal izquierdo.,"Soplo protodiastólico en foco mitral, tonos cardiacos irregulares y soplo sistólico aórtico.",Soplo protodiastólico en foco mitral e hipertensión arterial sistólica.,Soplo telesistólico mitral irradiado a axila.,1,,
2010,47,9341,118197,FALSE,Un hombre de 85 años sin antecedentes previos refiere que desde hace meses tiene disnea y fatiga ante los esfuerzos. Además esta semana cuando subía por una cuesta ha perdido de forma brusca el conocimiento y se ha recuperado en pocos segundos sin ninguna consecuencia. La presión arterial es 100/60 mmHg y se ausculta un soplo mesosistólico grado III que se transmite en dirección ascendente a lo largo de las carótidas. Respecto a la patología que padece este paciente ¿cuál de las siguientes afirmaciones es FALSA?:,"Un paciente añoso con soplo sistólico aórtico suele padecer una estenosis degenerativa de la válvula aórtica por calcificación. Estos pacientes se mantienen asintomáticos durante muchos años hasta que empiezan a tener síntomas (disnea, angor o síncope) y en ese momento el pronóstico cambia de manera drástica. Edad Media Muerte % Supervivencia Angina Síncope IC Inicio de los síntomas severos Periodo Latente (aumento de la obtrucción y mecanismo compensadores) HISTORIA NATURAL DE LA ESTENOSIS AORTICA Supervivencia Media Edad Mas allá de los 45 años en varones y 55 en mujeres se precisa una angiografía previa a una cirugía cardiaca, ya que es preciso descartar enfermedad coronaria y tratarla en ese mismo momento. La ecocardiografía es la prueba fundamental para el diagnóstico y severidad de la estenosis, quedando la hemodinámica para los casos dudosos. La estenosis aórtica severa sintomática no tiene tratamiento médico y el pronóstico es malo a dos años vista, por lo que el tratamiento con sustitución valvular aórtica es la única alternativa. En casos con alta morbilidad quirúrgica está indicada la revalvulación percutánea con prótesis biológica. ","1. Harrison ́s, 17Th Edition, Pag 255",CARDIOLOGÍA,Fácil,"0,83",,Antes de plantear un tratamiento es importante practicar un cateterismo del lado izquierdo del corazón y de las arterias coronarias.,El pronóstico de vida de este paciente sin ningún tratamiento es entre 2 y 3 años desde el momento del diagnóstico.,Se debe recomendar al paciente evitar el ejercicio físico excesivo.,En este paciente no es posible el tratamiento quirúrgico por el elevado riesgo de complicaciones y mortalidad al ser un paciente de edad avanzada.,Antes de plantear un tratamiento es importante practicar un ecocardiograma.,4,,
2010,49,9343,118199,FALSE,"Enfermo de 60 años con cardiopatía hipertensiva grave con engrosamiento de las paredes del ventrículo izquierdo y con función sistólica normal. Había acudido a una fiesta de despedida de soltero y comió, como los demás, embutidos y mariscos. Varias horas después comenzó con disnea y ortopnea. No refería dolor torácico. Su TA estaba en torno a 150/95 mmHg como había tenido otras veces. Se auscultaron crepitantes pulmonares bilaterales. ¿Cuál es el diagnóstico más probable?",El abandono del tratamiento o las transgresiones severas en el consumo de sodio son las causas más frecuentes de descompensación de insuficiencia cardiaca. Dado que nos refiere que no presenta disfunción ventricular sistólica son síntomas por disfunción diastólica (respuesta 2 correcta). ,"1. Harrison ́s, 17Th Edition, Pag 252",CARDIOLOGÍA,Fácil,"0,67",,Crisis hipertensiva.,Insuficiencia cardiaca diastólica.,Insuficiencia cardiaca por disfunción sistólica.,Derrame pericárdico.,Tromboembolismo pulmonar.,2,,
