kasuZbkia,gaixotasunak,gaixotasunUMLS,sintomak,sintomenUMLS,gaixSin,gaixSinUMLS
0,"le,esofagitis erosiva,pliegues,displasia","C1292157#C0409974,C0267055,C0332462,C0334044#C1279612","pirosis,le","C0018834,C1292157#C0409974",epitelio,C0225337
1,"aftas bucales,hemorragia","C0038363,C0019080","Mujer,molestias,diarrea,signos,hemorragia,ictericia","C0043210#C0015780#C0086418,C0231218,C0011991,C0311392,C0019080,C0022346",,
2,"enfermedades,coágulos,úlcera,protuberancia,trombo,le","C0012634#C0039082,C0302148,C0041582,C0332567#C0032639,C0087086#C0003148#C0040053,C1292157#C0409974","palidez,le","C0030232#C1275397,C1292157#C0409974","deposiciones melénicas,doloroso","-,-"
3,"cáncer,adenomas","C1306459#C0936282#C0006826,C0001430",,,,
4,,,"astenia,ictericia","C0004093#C3714552,C0022346",HBsAg,-
5,"bronquitis crónica,colecistitis aguda,leucocitosis","C0008677,C0149520,C0023518#C0750426","insuficiencia,con dieta absoluta,fiebre,dolor abdominal,leucocitosis","C0231179,C3472561,C0015967,C0000737,C0023518#C0750426",,
6,"hipertensión arterial,prurito,dilatación,masa,punción,adenocarcinoma","C0020538,C0036262#C0033774,C0012359,C1306372#C0577559,C0033119,C0001418","mujer,ictericia,prurito,anorexia,nódulo hepático,hallazgos,masa","C0043210#C0015780#C0086418,C0022346,C0036262#C0033774,C1971624,C0745761,C0243095,C1306372#C0577559",,
7,estenosis,C0009814#C1261287,"mujer,ritmo sinusal","C0043210#C0015780#C0086418,C0232201",,
8,,,"disnea,fatiga,consecuencia,soplo mesosistólico","C0013404#C0553668,C0015672,C0543419#C1368999#C1704419#C1280500#C1280519,C0232259",,
9,cardiopatía hipertensiva,C0152105#C0694541,"engrosamiento,soltero,disnea,ortopnea,dolor","C0205400,C0037179,C0013404#C0553668,C0085619,C0030193",crepitantes,-
