erantzunZbkia,gaixotasunCodes,sintomak
0,,
1,,
2,,
3,C0019159 # C0042721 # C0019159 ,- # - # - 
4,C0014868 ,"denosumab, dexlansoprazole, esomeprazole, lansoprazole, omeprazole, pantoprazole, pantoprazole sodium, sucralfate "
5,C0012634 ,- 
6,,
7,,
8,,
9,,
10,,
11,,
12,C0011127 ,"collagenase clostridium histolyticum, nitric oxide "
13,C0079293 # C0162566 # C0162830 # C0011616 # C0162565 ,"- # hydroxychloroquine # - # desonide, methylprednisolone, pramoxine, trimeprazine # chlorpromazine "
14,C0042109 # C0035920 # C3714602 ,"acrivastine, astemizole, azatadine, bromodiphenhydramine, cetirizine, chlorpheniramine, cimetidine, clemastine, cyproheptadine, cyproheptadine hydrochloride, desloratadine, famotidine, fexofenadine, levocetirizine, loratadine, methdilazine, montelukast, nizatidine, omalizumab, phenindamine, pheniramine, phenyltoloxamine, trimeprazine, tripelennamine # - # - "
15,C0020550 # C0024899 # C0002726 ,"iopanoic acid, methimazole, propylthiouracil # cromoglicic acid # (RS)-lenalidomide, acetylcysteine, bortezomib, dexamethasone, ixazomib, melphalan, pomalidomide, thalidomide "
16,C0021345 # C0024530 # C0024535 # C0041466 # C0011311 ,"- # (RS)-primaquine, Artesunate/amodiaquine, artemisinin, atovaquone, chloroquine, cinchonidine, clindamycin, doxycycline, hydroxychloroquine, mefloquine, primaquine phosphate, pyrimethamine, quinidine, quinine, sulfadiazine # (RS)-primaquine, chloroquine, halofantrine, mefloquine, primaquine phosphate, proguanil, pyrimethamine, quinacrine, quinine, sulfadoxine # DL-ofloxacin, amoxicillin, ampicillin, azithromycin, aztreonam, cefixime, cefotaxime, ceftriaxone, ciprofloxacin, gatifloxacin, imipen, levofloxacin, pefloxacin # - "
17,,
18,,
19,,
20,,
21,,
22,,
23,C1318973 ,- 
24,,
25,C0002390 # C0032273 # C0036202 # C0024225 # C0020807 ,- # - # - # - # - 
26,,
27,C1145670 ,- 
28,,
29,C0018799 # C0014544 # C0020615 ,"(RS)-dobutamine, (RS)-metoprolol, (±)-carvedilol, Amlodipine / atorvastatin, Bisoprolol / Hydrochlorothiazide, Evolocumab, Hydrochlorothiazide / Lisinopril, LCZ696, Palivizumab, amiodarone, apixaban, aprindine, aspirin, atenolol/chlorthalidone, atorvastatin, clopidogrel, dabigatran etexilate, dofetilide, furosemide, pharmaceutical preparation of nitroglycerin, rivaroxaban, rosuvastatin, sildenafil, ticagrelor, valsartan, warfarin # (S)-etiracetam, acetazolamide, brivaracetam, carbamazepin, clobazam, clonazepam, diazepam, ethosuximide, ethotoin, ezogabine, felbamate, fosphenytoin, gabapentin, lacosamide, lamotrigine, mephobarbital, methsuximide, oxcarbazepine, perampanel, pheneturide, phenobarbital, phenytoin, pregabalin, primidone, topiramate, vigabatrin, zonisamide # - "
