kasuZbkia,gaixotasunak,gaixotasunUMLS,sintomak,sintomenUMLS,gaixSin,gaixSinUMLS
0,"enfermedades,coágulos (estómago Causado por: úlcera(antro (gástrico ))),úlcera,protuberancia (pequeña blanco (grisácea )),úlcera (antro (gástrico )),trombo (plaquetario (vaso ))","C0012634#C0039082,C0302148,C0041582,C0332567#C0032639,C0041582,C0333209",palidez (piel mucosas ),C0030232#C1275397,"deposiciones (melénicas ),doloroso,deposiciones (abdomen melénicas )","-,-,-"
1,"bronquitis (crónica ),colecistitis (aguda litiásica ),leucocitosis","C0008677,C0149520,C0023518#C0750426","insuficiencia (cardiaca ),con dieta absoluta,fiebre,dolor (abdominal persistente ),leucocitosis","C0231179,C3472561,C0015967,C0000737,C0023518#C0750426",,
2,"hipertensión (arterial ),prurito,dilatación (biliar (intra )extrahepática ),punción,adenocarcinoma","C0020538,C0036262#C0033774,C0012359,C0033119,C0001418","mujer,ictericia (indolora ),prurito,anorexia,nódulo (hepático cara (anterior de lóbulo izquierdo )),hallazgos,masa (pancreática ),aspiración,nódulo (hepático )","C0043210#C0015780#C0086418,C0022346,C0036262#C0033774,C1971624,C0745761,C0243095,C0877425,C0700198#C0349707,C0745761",,
3,,,"astenia,ictericia","C0004093#C3714552,C0022346","VHA,HBsAg,VHC","-,-,-"
4,"esofagitis (erosiva leve unión (escamosa columnar )),pliegues (gástricos ),displasia (de (bajo grado ))","C0267055,C0332462,C0334044#C1279612",pirosis (diaria ),C0018834,epitelio (columnar tipo (intestinal )),C0225337
5,"cáncer (colon ),adenomas (colon )","C1306459#C0936282#C0006826,C0001430",,,,
6,"tumor (colon (derecho )),lesiones,cáncer (colon ),tumor (pobremente (diferenciado )),carcinoma (tipo (medular ))","C0027651,C0332447#C1313971#C0221198,C1306459#C0936282#C0006826,C0027651,C0007097",,,células (inflamatorias Causado por: carcinoma(tipo (medular ))),C1269647#C0007634 C0333348
7,"lesiones (de (rascado )),hepatomegalia (no (dolorosa ))","C0332447#C1313971#C0221198,C0019209","Mujer,conductas (sexuales de riesgo ),prurito (generalizado ),astenia,ausencia de lagrimeo,ictericia (conjuntival )","C0043210#C0015780#C0086418,C0004927,C0475858,C0004093#C3714552,C0423154,C0240962","conductas (sexuales de riesgo ),hepatitis (víricas ),sequedad (boca )","C0004927 - C0332285 -,C0019158,-"
8,nódulo (tiroideo ),C0040137#C0342115,,,"patrón (folicular muy (celular )),invasión (capsular )","C0449774 C0439682,-"
9,"tumefacción (talón (izquierdo )escroto ),compresión","C0038999,C0332459#C1285497","caída (pie ),tumefacción (talón (izquierdo )escroto ),hormigueos (leves cara (anterior del muslo izquierdo )),disestesias (ambos (pies ))","C0085639,C0038999,C0016579,C0392699",,
10,"masa (abdominal ),quiste (colédoco )","C0000734#C0000731,C0686883#C0010709","Niño de,dolor (abdominal ),ictericia,masa (abdominal )","C0680063,C0000737,C0022346,C0000734#C0000731",,
